"TICKET","TRANSACTION DATE","TRANSACTION TYPE","DETAILS","INSTRUMENT","PRICE","UNITS","DIRECTION","SPREAD COST","STOP LOSS","GUARANTEED STOP LOSS","TAKE PROFIT","TRAILING STOP","FINANCING","COMMISSION","GSL FEE","GSL PREMIUM","CONVERSION RATE","PL","AMOUNT","BALANCE"
"5576","2025-10-16 19:34:53 -12","MARKET_ORDER","CLIENT_ORDER","GBP/JPY","","1000.00","Sell","","201.19900","","200.71200","","","","","","","","",""
"5577","2025-10-16 19:34:53 -12","ORDER_FILL","MARKET_ORDER","GBP/JPY","200.96400","1000.00","Sell","0.0995","","","","","0.00000","0.0000","0.0000","","","0.00000","","755.68"
"5578","2025-10-16 19:34:53 -12","TAKE_PROFIT_ORDER","ON_FILL","","200.71200","","","","","","","","","","","","","","",""
"5579","2025-10-16 19:34:53 -12","STOP_LOSS_ORDER","ON_FILL","","201.19900","","","","","","","","","","","","","","",""
"5580","2025-10-16 19:34:53 -12","TRADE_CLIENT_EXTENSIONS_MODIFY","","","","","","","","","","","","","","","","","",""
"5581","2025-10-16 19:46:03 -12","ORDER_FILL","STOP_LOSS_ORDER","GBP/JPY","201.20000","1000.00","Buy","0.0944","","","","","0.00000","0.0000","0.0000","","0.0050","-1.17890","","754.50"
"5582","2025-10-16 19:46:03 -12","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","","",""
"5583","2025-10-16 20:17:58 -12","MARKET_ORDER","CLIENT_ORDER","GBP/USD","","77297.00","Sell","","1.34277","","1.34039","","","","","","","","",""
"5584","2025-10-16 20:17:58 -12","ORDER_CANCEL","INSUFFICIENT_MARGIN","","","","","","","","","","","","","","","","",""
"5585","2025-10-16 20:20:01 -12","MARKET_ORDER","CLIENT_ORDER","GBP/USD","","10000.00","Sell","","1.34287","","1.34044","","","","","","","","",""
"5586","2025-10-16 20:20:01 -12","ORDER_FILL","MARKET_ORDER","GBP/USD","1.34182","10000.00","Sell","0.5217","","","","","0.00000","0.0000","0.0000","","","0.00000","","754.50"
"5587","2025-10-16 20:20:01 -12","TAKE_PROFIT_ORDER","ON_FILL","","1.34044","","","","","","","","","","","","","","",""
"5588","2025-10-16 20:20:01 -12","STOP_LOSS_ORDER","ON_FILL","","1.34287","","","","","","","","","","","","","","",""
"5589","2025-10-16 20:20:01 -12","TRADE_CLIENT_EXTENSIONS_MODIFY","","","","","","","","","","","","","","","","","",""
"5590","2025-10-16 20:25:02 -12","MARKET_ORDER","CLIENT_ORDER","XAU/USD","","10.00","Buy","","4331.22000","","4368.01000","","","","","","","","",""
"5591","2025-10-16 20:25:02 -12","ORDER_CANCEL","INSUFFICIENT_MARGIN","","","","","","","","","","","","","","","","",""
"5592","2025-10-16 20:41:26 -12","ORDER_FILL","STOP_LOSS_ORDER","GBP/USD","1.34289","10000.00","Buy","0.5958","","","","","0.00000","0.0000","0.0000","","0.7484","-8.00820","","746.49"
"5593","2025-10-16 20:41:26 -12","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","","",""
"5594","2025-10-16 20:45:04 -12","MARKET_ORDER","CLIENT_ORDER","GBP/USD","","76328.00","Sell","","1.34351","","1.34114","","","","","","","","",""
"5595","2025-10-16 20:45:04 -12","ORDER_CANCEL","INSUFFICIENT_MARGIN","","","","","","","","","","","","","","","","",""
"5596","2025-10-16 20:55:02 -12","MARKET_ORDER","CLIENT_ORDER","EUR/USD","","98267.00","Sell","","1.17018","","1.16838","","","","","","","","",""
"5597","2025-10-16 20:55:02 -12","ORDER_CANCEL","INSUFFICIENT_MARGIN","","","","","","","","","","","","","","","","",""
"5598","2025-10-16 21:00:00 -12","MARKET_ORDER","CLIENT_ORDER","GBP/JPY","","1000.00","Sell","","201.22600","","200.84400","","","","","","","","",""
"5599","2025-10-16 21:00:00 -12","ORDER_FILL","MARKET_ORDER","GBP/JPY","201.04700","1000.00","Sell","0.0721","","","","","0.00000","0.0000","0.0000","","","0.00000","","746.49"
"5600","2025-10-16 21:00:00 -12","TAKE_PROFIT_ORDER","ON_FILL","","200.84400","","","","","","","","","","","","","","",""
"5601","2025-10-16 21:00:00 -12","STOP_LOSS_ORDER","ON_FILL","","201.22600","","","","","","","","","","","","","","",""
"5602","2025-10-16 21:00:00 -12","TRADE_CLIENT_EXTENSIONS_MODIFY","","","","","","","","","","","","","","","","","",""
